Order list for C:/Users/anudeepnayak/Documents/EAGLE/projects/btp/attempt.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
1	220uF	CPOL-RADIAL-2.5MM-6.5MM	8126690	RUBYCON	35ZLH220MEFC8X11.5	31955	8.82	RUBYCON - 35ZLH220MEFC8X11.5 - Electrolytic Capacitor, Miniature, 220 µF, 35 V, ZLH Series, ± 20%, Radial Leaded, 8 mm
1	39uF	CPOL-RADIAL-2.5MM-6.5MM	1899899	NICHICON	UPW1V390MDD1TD	3284	5.55	NICHICON - UPW1V390MDD1TD - ALUMINUM ELECTROLYTIC CAPACITOR, 39UF, 35V, 20%, RADIAL
1	10uF	CPOL-RADIAL-2.5MM-6.5MM	1848557	PANASONIC	ECA1JHG100	7248	3.65	PANASONIC - ECA1JHG100 - Electrolytic Capacitor, 10 µF, 63 V, NHG Series, ± 20%, Radial Leaded, 5 mm
1	4.7nF	C0805	2280896	AVX	06035C472KAT2A	84000	0.76	AVX - 06035C472KAT2A - SMD Multilayer Ceramic Capacitor, 4700 pF, 50 V, 0603 [1608 Metric], ± 10%, X7R, AVX 0603 MLCC
1	1nF	C0805	1327646	AVX	04025C102KAT2A	93017	0.366	AVX - 04025C102KAT2A - SMD Multilayer Ceramic Capacitor, 1000 pF, 50 V, 0402 [1005 Metric], ± 10%, X7R, AVX 0402 MLCC
1	47uF	CPOL-RADIAL-2.5MM-6.5MM	1848470	PANASONIC	EEUFC1J470	2620	8.11	PANASONIC - EEUFC1J470 - Electrolytic Capacitor, 47 µF, 63 V, EEUFC Series, ± 20%, Radial Leaded, 8 mm
1	180uF	CPOL-RADIAL-2.5MM-6.5MM	2465818	WURTH ELEKTRONIK	860020675019	35	21.03	WURTH ELEKTRONIK - 860020675019 - Electrolytic Capacitor, 180 µF, 50 V, WCAP-ATG5 Series, ± 20%, Radial Leaded, 10 mm
1	MF-MSMF050-2	MF-MSMF050-2_FUSM4632X85	9350314	BOURNS	MF-MSMF050-2	8386	25.48	BOURNS - MF-MSMF050-2 - PPTC Resettable Fuse, SMD, MF-MSMF Series, 500 mA, 1 A, 15 V, -40 °C
1	MF-MSMF075-2	FUSM4632X85	1652169	BOURNS	MF-MSMF075/24-2	13126	28.42	BOURNS - MF-MSMF075/24-2 - PPTC Resettable Fuse, SMD, MF-MSMF Series, 750 mA, 1.5 A, 24 V, -40 °C
1	SMF_OMNIBLOK_154.062	NANO2_SMF_FUSEBLOCK	unknown					
